Station,Latitude,Temp,Salinity,Nitrate (NO3),Ammonium,Dissolved Reactive Phosphorous,Nitrate to phosphate draw down ratio,chl-a Total,ZM (mixed layer depth in meters)
C1,74.59,-0.79,34.2,14.29,0.29,1.19,12,0.77,36
C2,77.75,-1.5,33.85,22,0.1,0.58,37.9,0.3,30
C3,75.62,-0.78,34.28,22.86,0.36,1.55,14.7,0.72,55
C4,76.18,-1.57,33.98,22.64,0.86,1.52,14.9,1.26,55
C15,75.29,-1.69,33.87,30.86,1.36,1.97,15.6,0.39,43
C16,72.32,-1.77,33.93,25.93,2,1.9,13.6,0.29,43
C17,72.09,-1.7,34.07,26.57,0.43,1.77,15,0.2,47
C18,71.38,-1.62,34.04,28.21,0.36,1.52,18.6,0.21,72
C25,72.08,-1.65,34.03,29.29,0.57,1.77,16.6,0.25,28
C26,72.02,-1.49,33.76,21.21,0.57,1.97,10.8,0.28,39
C27,71.93,-1.48,34.21,25.14,0.21,1.81,13.9,0.19,48
C24,66.98,-1.42,33.79,27.64,0.36,1.81,15.3,0.19,51
C29,69.42,-1.82,32.61,27.43,0.5,1.84,14.9,0.52,26
C30,68.52,-1.77,33.65,27.71,0.5,1.77,15.7,0.47,39
C31,68.11,-1.62,33.66,26.29,0.14,1.48,17.8,0.41,45
C33,67.61,-1.47,33.64,27.64,0.36,1.26,219,0.28,48
C34,67.38,-0.76,33.93,28.21,0.14,1.84,15.3,0.15,19
C35,66.72,-1.31,33.64,27.5,2,1.77,15.5,0.23,35
